EASTING,NORTHING,DIP,DIP_DIR,count,kappa,beta
236642,6325727,40,95,1,1e-06,0.0
236642,6333727,55,88,3,1e-06,4.99e-07
236642,6335727,44,87,5,1e-06,4.99e-07
236642,6336727,40,58,2,1e-06,0.0
236642,6338727,59,75,1,1e-06,0.0
236642,6339727,48,92,1,1e-06,0.0
236642,6341727,41,65,2,1e-06,4.99e-07
236642,6344727,38,63,3,1e-06,4.99e-07
236642,6348727,9,355,1,1e-06,0.0
236642,6353727,44,280,1,1e-06,4.99e-07
236642,6361727,80,90,1,1e-06,0.0
236642,6362727,75,95,1,1e-06,0.0
236642,6363727,44,105,1,1e-06,0.0
236642,6448727,49,320,1,1e-06,0.0
237642,6252727,40,101,4,1e-06,4.99e-07
237642,6253727,11,130,3,1e-06,0.0
237642,6260727,35,127,1,1e-06,4.99e-07
237642,6263727,9,187,2,1e-06,4.99e-07
237642,6268727,7,135,2,1e-06,0.0
237642,6271727,11,70,2,1e-06,4.99e-07
237642,6273727,10,73,1,1e-06,0.0
237642,6275727,6,90,1,1e-06,0.0
237642,6280727,7,19,1,1e-06,4.99e-07
237642,6283727,7,72,1,1e-06,0.0
237642,6299727,29,242,1,1e-06,4.99e-07
237642,6300727,22,96,1,1e-06,0.0
237642,6301727,63,68,1,1e-06,4.99e-07
237642,6312727,24,158,2,1e-06,0.0
237642,6313727,21,147,5,1e-06,0.0
237642,6314727,15,190,2,1e-06,4.99e-07
237642,6315727,10,163,1,1e-06,4.99e-07
237642,6316727,11,165,6,1e-06,0.0
237642,6317727,6,185,4,1e-06,0.0
237642,6318727,25,149,1,1e-06,4.99e-07
237642,6322727,41,71,1,1e-06,0.0
237642,6325727,64,98,2,1e-06,4.99e-07
237642,6327727,52,96,1,1e-06,0.0
237642,6328727,22,114,1,1e-06,0.0
237642,6329727,54,95,2,1e-06,4.99e-07
237642,6331727,30,112,1,1e-06,0.0
237642,6332727,49,100,2,1e-06,4.99e-07
237642,6333727,55,86,2,1e-06,4.99e-07
237642,6334727,20,96,1,1e-06,0.0
237642,6335727,49,89,1,1e-06,0.0
237642,6338727,58,94,1,1e-06,0.0
237642,6339727,25,68,1,1e-06,0.0
237642,6341727,27,83,1,1e-06,0.0
237642,6343727,35,33,1,1e-06,4.99e-07
237642,6344727,35,20,2,1e-06,0.0
237642,6350727,44,290,1,1e-06,4.99e-07
238642,6263727,17,132,2,1e-06,0.0
238642,6265727,9,145,1,1e-06,4.99e-07
238642,6271727,16,254,4,1e-06,4.99e-07
238642,6273727,27,263,5,1e-06,4.99e-07
238642,6274727,8,39,3,1e-06,0.0
238642,6275727,8,69,1,1e-06,0.0
238642,6277727,22,44,5,1e-06,0.0
238642,6314727,19,178,3,1e-06,0.0
238642,6315727,13,179,3,1e-06,0.0
238642,6316727,26,104,2,1e-06,4.99e-07
238642,6317727,23,150,1,1e-06,4.99e-07
238642,6318727,35,115,3,1e-06,4.99e-07
238642,6319727,21,106,4,1e-06,4.99e-07
238642,6320727,85,79,1,1e-06,4.99e-07
238642,6321727,58,77,4,1e-06,4.99e-07
238642,6322727,85,87,1,1e-06,0.0
238642,6323727,29,105,7,1e-06,4.99e-07
238642,6324727,69,103,1,1e-06,0.0
238642,6326727,31,100,2,1e-06,4.99e-07
238642,6327727,2,352,4,1e-06,0.0
238642,6330727,17,109,4,1e-06,4.99e-07
238642,6331727,12,125,4,1e-06,0.0
238642,6332727,8,71,3,1e-06,4.99e-07
238642,6336727,23,42,2,1e-06,0.0
238642,6338727,28,49,4,1e-06,0.0
238642,6340727,39,54,1,1e-06,4.99e-07
238642,6343727,29,20,1,1e-06,4.99e-07
238642,6344727,27,354,3,1e-06,4.99e-07
238642,6346727,39,330,1,1e-06,0.0
238642,6353727,39,280,1,1e-06,4.99e-07
238642,6448727,39,100,1,1e-06,0.0
238642,6451727,80,355,1,1e-06,0.0
238642,6454727,0,0,1,inf,0.0
239642,6235727,2,210,1,1e-06,0.0
239642,6236727,3,130,3,1e-06,0.0
239642,6263727,6,158,4,1e-06,0.0
239642,6266727,5,66,3,1e-06,4.99e-07
239642,6270727,8,84,2,1e-06,4.99e-07
239642,6274727,14,105,1,1e-06,0.0
239642,6288727,13,97,2,1e-06,4.99e-07
239642,6293727,17,88,1,1e-06,0.0
239642,6294727,10,95,1,1e-06,0.0
239642,6296727,19,143,1,1e-06,4.99e-07
239642,6297727,10,128,1,1e-06,4.99e-07
239642,6298727,38,248,1,1e-06,4.99e-07
239642,6314727,19,145,7,1e-06,0.0
239642,6316727,22,100,3,1e-06,4.99e-07
239642,6318727,30,84,2,1e-06,4.99e-07
239642,6319727,14,262,3,1e-06,4.99e-07
239642,6320727,54,93,2,1e-06,4.99e-07
239642,6321727,42,243,3,1e-06,4.99e-07
239642,6323727,34,264,3,1e-06,4.99e-07
239642,6324727,31,236,3,1e-06,4.99e-07
239642,6325727,46,260,1,1e-06,4.99e-07
239642,6326727,49,280,1,1e-06,4.99e-07
239642,6327727,19,303,7,1e-06,4.99e-07
239642,6328727,69,271,2,1e-06,4.99e-07
239642,6330727,46,288,1,1e-06,4.99e-07
239642,6331727,34,263,2,1e-06,4.99e-07
239642,6332727,19,258,1,1e-06,4.99e-07
239642,6335727,17,323,1,1e-06,0.0
