EASTING,NORTHING,DIP,DIP_DIR
245642,6313727,77,248
245642,6317727,80,84
245642,6321727,80,279
245642,6323727,84,82
245642,6324727,90,83
245642,6328727,73,269
245642,6329727,31,302
245642,6332727,65,73
245642,6333727,71,67
245642,6334727,55,64
245642,6336727,77,71
245642,6337727,49,67
245642,6338727,55,58
245642,6339727,51,62
245642,6340727,49,56
245642,6342727,72,70
245642,6343727,55,64
245642,6344727,68,80
245642,6345727,58,79
245642,6348727,29,90
245642,6355727,27,103
245642,6364727,49,265
245642,6393727,40,355
245642,6394727,9,10
245642,6409727,19,50
245642,6415727,29,85
245642,6423727,9,160
245642,6446727,90,135
245642,6473727,56,330
245642,6474727,24,4
246642,6244727,18,270
246642,6245727,40,262
246642,6246727,44,252
246642,6249727,15,260
246642,6302727,75,252
246642,6303727,88,259
246642,6308727,84,79
246642,6309727,80,63
246642,6313727,73,31
246642,6314727,39,38
246642,6332727,56,85
246642,6333727,44,60
246642,6336727,65,81
246642,6337727,69,73
246642,6338727,66,74
246642,6341727,64,72
246642,6343727,68,103
246642,6344727,18,263
246642,6345727,50,93
246642,6353727,60,95
246642,6394727,29,80
246642,6406727,40,70
246642,6412727,49,95
246642,6420727,5,160
246642,6425727,29,85
246642,6427727,49,20
246642,6432727,29,275
246642,6444727,80,315
246642,6454727,49,120
246642,6471727,63,115
246642,6472727,39,120
246642,6473727,46,353
247642,6228727,5,275
247642,6239727,18,94
247642,6241727,4,66
247642,6298727,66,67
247642,6301727,48,106
247642,6302727,57,231
247642,6303727,56,91
247642,6304727,61,176
247642,6305727,85,89
247642,6306727,85,88
247642,6308727,82,75
247642,6310727,84,101
247642,6311727,74,104
247642,6335727,65,71
247642,6338727,69,82
247642,6339727,62,97
247642,6343727,85,252
247642,6344727,54,276
247642,6349727,35,245
247642,6353727,14,274
247642,6355727,44,255
247642,6414727,44,85
247642,6417727,55,85
247642,6430727,44,165
247642,6438727,25,310
248642,6235727,23,91
248642,6238727,11,111
248642,6293727,50,69
248642,6294727,56,73
248642,6298727,58,78
248642,6300727,65,90
248642,6302727,77,110
248642,6303727,85,90
248642,6304727,77,100
248642,6309727,89,104
248642,6310727,58,105
248642,6311727,85,285
248642,6315727,72,6
248642,6317727,55,337
248642,6330727,50,25
248642,6333727,83,97
248642,6335727,58,78
248642,6343727,51,262
248642,6423727,34,125
248642,6427727,39,330
248642,6435727,9,255
248642,6438727,19,95
249642,6236727,7,60
249642,6237727,7,212
249642,6286727,4,224
249642,6287727,26,68
249642,6288727,72,169
249642,6289727,28,81
249642,6290727,31,89
249642,6291727,16,50
249642,6292727,25,53
249642,6294727,19,43
249642,6301727,40,70
249642,6302727,85,287
249642,6303727,80,83
249642,6304727,75,88
249642,6306727,80,92
249642,6307727,13,4
249642,6309727,90,108
249642,6310727,86,99
249642,6311727,85,107
249642,6316727,60,49
249642,6318727,63,311
249642,6330727,49,275
249642,6332727,59,267
249642,6333727,63,282
249642,6334727,68,291
249642,6335727,59,278
249642,6337727,76,259
249642,6339727,75,263
249642,6342727,49,275
249642,6347727,60,290
249642,6362727,65,165
249642,6426727,39,135
249642,6430727,39,270
249642,6436727,9,234
249642,6443727,14,320
249642,6451727,90,135
250642,6226727,9,150
250642,6230727,5,250
250642,6234727,16,47
250642,6285727,19,100
250642,6286727,27,107
250642,6287727,25,119
250642,6288727,20,11
250642,6289727,27,25
250642,6293727,19,7
250642,6303727,63,85
250642,6304727,43,82
250642,6305727,70,87
250642,6306727,65,93
250642,6307727,85,100
250642,6308727,75,93
250642,6309727,84,106
250642,6324727,61,330
250642,6327727,60,282
250642,6332727,69,285
250642,6341727,39,293
250642,6346727,45,239
250642,6360727,44,290
250642,6395727,70,95
250642,6416727,44,100
250642,6429727,0,0
250642,6476727,29,255
251642,6282727,44,97
251642,6286727,20,77
251642,6288727,25,105
251642,6291727,20,55
251642,6293727,4,20
251642,6294727,25,37
251642,6304727,49,83
251642,6306727,41,74
251642,6308727,54,80
251642,6311727,80,103
251642,6326727,38,295
251642,6327727,50,295
251642,6334727,76,273
251642,6335727,70,271
251642,6336727,64,276
251642,6337727,61,270
251642,6338727,65,270
251642,6339727,85,288
251642,6344727,84,272
251642,6345727,69,266
251642,6349727,65,250
251642,6354727,60,270
251642,6360727,80,295
251642,6361727,54,275
251642,6362727,34,200
251642,6430727,25,95
251642,6433727,9,145
251642,6445727,19,325
252642,6280727,26,108
252642,6286727,25,93
252642,6291727,39,75
252642,6292727,57,76
252642,6293727,14,25
252642,6302727,15,284
252642,6305727,18,349
252642,6306727,19,37
252642,6308727,29,77
252642,6310727,59,93
252642,6312727,75,99
252642,6324727,19,21
252642,6327727,32,308
252642,6337727,52,78
252642,6339727,71,296
252642,6340727,90,285
252642,6341727,67,281
252642,6355727,70,85
252642,6357727,49,265
252642,6420727,25,310
252642,6431727,29,115
252642,6435727,49,110
252642,6438727,69,345
252642,6469727,19,265
253642,6291727,16,46
253642,6292727,17,62
253642,6293727,15,331
253642,6294727,10,358
253642,6300727,59,284
253642,6301727,29,259
253642,6302727,21,300
253642,6303727,14,303
253642,6304727,22,318
253642,6305727,22,318
253642,6306727,16,322
253642,6307727,27,320
253642,6309727,31,303
253642,6310727,1,317
253642,6312727,7,200
253642,6314727,25,259
253642,6315727,26,208
253642,6319727,27,70
253642,6322727,59,105
253642,6323727,70,107
253642,6324727,63,105
253642,6325727,34,80
253642,6328727,65,269
253642,6329727,49,270
253642,6332727,36,273
253642,6336727,36,263
253642,6337727,32,268
253642,6349727,19,354
253642,6365727,60,20
253642,6367727,60,95
253642,6374727,69,90
253642,6406727,75,300
253642,6418727,55,140
253642,6423727,54,275
253642,6439727,44,350
253642,6442727,29,95
253642,6457727,7,345
254642,6285727,34,305
254642,6291727,13,280
254642,6294727,27,305
254642,6295727,37,288
254642,6298727,49,212
254642,6299727,53,268
254642,6301727,54,292
254642,6302727,26,242
254642,6303727,59,93
254642,6304727,25,279
254642,6306727,37,298
254642,6309727,31,299
254642,6310727,37,282
254642,6311727,44,282
254642,6312727,33,263
254642,6314727,19,209
254642,6315727,43,243
254642,6318727,25,335
254642,6319727,20,288
254642,6321727,57,84
254642,6323727,49,110
254642,6327727,49,98
254642,6331727,59,258
254642,6332727,18,322
254642,6349727,17,41
254642,6350727,9,25
254642,6371727,70,85
254642,6395727,19,280
254642,6402727,44,290
254642,6407727,44,295
254642,6430727,40,15
254642,6435727,65,115
254642,6437727,29,55
254642,6438727,0,0
254642,6457727,65,90
254642,6476727,56,320
254642,6477727,34,280
255642,6290727,74,92
255642,6291727,58,286
255642,6294727,40,279
255642,6295727,48,282
255642,6296727,73,270
255642,6301727,54,285
255642,6302727,33,296
255642,6303727,37,289
255642,6305727,35,310
255642,6306727,25,293
255642,6311727,31,280
255642,6312727,44,273
255642,6314727,32,227
255642,6315727,54,236
255642,6318727,51,272
255642,6320727,54,278
255642,6322727,64,274
255642,6323727,55,261
255642,6326727,32,223
255642,6332727,27,62
255642,6336727,10,293
255642,6342727,19,192
255642,6343727,32,100
255642,6344727,43,108
255642,6345727,53,126
255642,6348727,33,85
255642,6350727,19,60
255642,6355727,24,110
255642,6365727,49,5
255642,6396727,29,280
255642,6416727,35,290
255642,6423727,39,220
255642,6425727,70,310
255642,6442727,0,0
255642,6445727,19,345
256642,6289727,78,259
256642,6291727,69,280
256642,6293727,59,273
256642,6296727,61,280
256642,6298727,70,356
256642,6301727,72,305
256642,6303727,59,324
256642,6304727,22,352
256642,6306727,25,300
256642,6307727,38,299
256642,6310727,43,269
256642,6312727,60,268
256642,6314727,50,229
256642,6315727,29,238
256642,6316727,43,195
256642,6317727,49,210
256642,6319727,44,129
256642,6320727,52,272
256642,6321727,48,273
256642,6323727,69,274
256642,6327727,27,268
256642,6330727,19,313
256642,6334727,38,68
256642,6336727,41,84
256642,6338727,29,108
256642,6350727,40,45
256642,6356727,44,110
256642,6357727,39,180
256642,6396727,59,285
256642,6420727,44,170
256642,6423727,29,175
256642,6433727,49,110
256642,6438727,65,140
256642,6441727,59,305
256642,6444727,29,240
256642,6448727,9,140
256642,6457727,83,84
256642,6478727,34,295
257642,6279727,41,88
257642,6283727,21,286
257642,6284727,17,288
257642,6285727,52,69
257642,6289727,63,260
257642,6290727,81,272
257642,6291727,80,268
257642,6294727,71,265
257642,6296727,65,267
257642,6300727,83,250
257642,6301727,77,260
257642,6304727,18,248
257642,6314727,55,264
257642,6315727,54,252
257642,6319727,60,108
257642,6320727,71,100
257642,6321727,54,91
257642,6322727,46,293
257642,6323727,65,71
257642,6325727,50,314
257642,6329727,10,343
257642,6332727,43,275
257642,6336727,39,96
257642,6342727,54,108
257642,6343727,34,122
257642,6346727,27,92
257642,6352727,25,20
257642,6355727,9,30
257642,6356727,40,204
257642,6380727,40,215
257642,6427727,60,300
257642,6430727,69,320
257642,6447727,29,330
257642,6453727,44,125
257642,6456727,54,120
257642,6465727,75,135
258642,6279727,37,71
258642,6280727,40,70
258642,6281727,86,92
258642,6283727,69,92
258642,6284727,65,86
258642,6286727,74,75
258642,6288727,57,84
258642,6289727,32,349
258642,6294727,85,270
258642,6310727,30,197
258642,6313727,56,271
258642,6314727,40,265
258642,6315727,44,266
258642,6317727,42,272
258642,6318727,65,278
258642,6320727,27,107
258642,6321727,13,202
258642,6324727,28,136
258642,6334727,23,38
258642,6335727,34,268
258642,6337727,17,224
258642,6339727,32,171
258642,6353727,14,65
258642,6380727,40,215
258642,6388727,70,280
258642,6393727,44,300
258642,6395727,75,270
258642,6409727,60,295
258642,6433727,70,110
258642,6444727,49,340
259642,6263727,76,256
259642,6279727,48,62
259642,6280727,64,61
259642,6281727,67,76
259642,6283727,82,77
259642,6284727,70,82
259642,6286727,67,69
259642,6288727,30,359
259642,6294727,57,290
259642,6296727,75,93
259642,6313727,49,98
259642,6320727,65,94
259642,6321727,17,194
259642,6322727,38,127
259642,6332727,72,283
259642,6336727,35,270
259642,6339727,18,244
259642,6343727,34,110
259642,6349727,0,0
259642,6350727,34,295
259642,6351727,19,335
259642,6387727,60,280
259642,6401727,47,282
259642,6412727,49,300
259642,6437727,34,145
259642,6443727,54,335
259642,6447727,39,310
259642,6463727,85,125
260642,6267727,16,110
260642,6268727,54,88
260642,6270727,31,170
260642,6278727,48,59
260642,6279727,66,62
260642,6280727,66,68
260642,6281727,73,51
260642,6287727,6,143
260642,6291727,77,82
260642,6293727,58,73
260642,6296727,80,88
260642,6308727,34,143
260642,6320727,36,84
260642,6321727,17,130
260642,6322727,21,165
260642,6323727,38,101
260642,6324727,39,127
260642,6325727,69,103
260642,6327727,72,83
260642,6329727,73,278
260642,6330727,55,57
260642,6332727,56,18
260642,6333727,58,303
260642,6339727,29,252
260642,6340727,39,256
260642,6341727,30,262
260642,6344727,23,356
260642,6349727,19,275
260642,6355727,60,85
260642,6359727,69,130
260642,6364727,75,20
260642,6379727,39,130
260642,6425727,29,219
260642,6426727,0,0
260642,6427727,9,219
260642,6430727,49,335
260642,6432727,69,320
260642,6434727,25,180
260642,6436727,29,165
260642,6460727,29,55
260642,6461727,69,135
260642,6477727,39,250
260642,6478727,59,270
261642,6266727,66,69
261642,6278727,61,65
261642,6280727,60,70
261642,6281727,35,71
261642,6282727,38,51
261642,6284727,35,275
261642,6285727,69,110
261642,6287727,59,87
261642,6289727,31,104
261642,6291727,60,84
261642,6310727,29,155
261642,6316727,14,281
261642,6317727,23,266
261642,6319727,26,246
261642,6322727,46,289
261642,6323727,29,270
261642,6324727,64,105
261642,6325727,19,13
261642,6327727,17,301
261642,6330727,46,324
261642,6331727,60,89
261642,6332727,65,73
261642,6335727,76,102
261642,6338727,52,83
261642,6344727,40,297
261642,6366727,14,40
261642,6386727,37,110
261642,6398727,46,276
261642,6399727,52,270
261642,6405727,60,300
261642,6409727,69,295
261642,6423727,44,255
261642,6427727,19,245
261642,6461727,80,130
261642,6463727,49,279
261642,6476727,70,184
261642,6477727,59,191
261642,6478727,47,199
262642,6268727,36,104
262642,6269727,49,77
262642,6272727,38,84
262642,6273727,40,79
262642,6277727,46,66
262642,6281727,17,37
262642,6282727,42,72
262642,6290727,41,68
262642,6300727,10,68
